Test          MVS          VMM          Deviation (%)
1000_1  29          26         10.3448
1000_3  71          66         7.04225
1000_5  121          114         5.78512
1000_7  185          177         4.32432
1000_9  306          298         2.61438
100_1  6          5         16.6667
100_3  13          12         7.69231
100_5  20          19         5
100_7  26          27         3.84615
100_9  44          43         2.27273
20_1  3          3         0
20_3  5          5         0
20_5  6          5         16.6667
20_7  8          8         0
20_9  11          11         0
250_1  10          10         0
250_3  24          21         12.5
250_5  38          38         0
250_7  60          54         10
250_9  94          89         5.31915
4_1  2          2         0
500_1  17          16         5.88235
500_3  43          38         11.6279
500_5  66          67         1.51515
500_7  104          100         3.84615
500_9  172          160         6.97674
50_1  5          4         20
50_3  8          7         12.5
50_5  11          10         9.09091
50_7  16          15         6.25
50_9  24          23         4.16667
70_1  5          5         0
70_3  10          9         10
70_5  15          14         6.66667
70_7  21          19         9.52381
70_9  32          29         9.375
